buy_date,buy_value,num_shares,position_type,cash_balance,sell_date,sell_value,profit_loss,borrowed_value,borrow_cost
2021-03-29 09:07:00,229.141,14.670601623415942,long,3358.599512055105,2021-03-29 09:08:00,228.934,-3.0368145360470065,,
2021-03-29 09:08:00,228.934,14.670601623415942,short,3358.467476640494,2021-03-29 09:14:00,228.943,-0.13203541461095697,3358.599512055105,0.0
2021-03-29 09:14:00,228.943,14.669448188590584,long,3359.039585119849,2021-03-29 09:16:00,228.982,0.572108479354846,,
2021-03-29 09:16:00,228.982,14.669448188590584,short,3350.0325439320545,2021-03-29 09:35:00,229.596,-9.007041187794682,3359.039585119849,0.0
2021-03-29 09:35:00,229.596,14.590988274761122,long,3346.9100724412556,2021-03-29 09:40:00,229.382,-3.12247149079886,,
2021-03-29 09:40:00,229.382,14.590988274761122,short,3358.291043295569,2021-03-29 09:51:00,228.602,11.380970854313691,3346.9100724412556,0.0
2021-03-29 09:51:00,228.602,14.69055845222513,long,3353.575374032405,2021-03-29 09:52:00,228.281,-4.715669263164236,,
2021-03-29 09:52:00,228.281,14.69055845222513,short,3381.4874350916325,2021-03-29 10:07:00,226.381,27.91206105922783,3353.575374032405,0.0
2021-03-29 10:07:00,226.381,14.937152124478787,long,3380.9795719194003,2021-03-29 10:08:00,226.347,-0.5078631722321565,,
2021-03-29 10:08:00,226.347,14.937152124478787,short,3379.157239360214,2021-03-29 10:13:00,226.469,-1.822332559186198,3380.9795719194003,0.0
2021-03-29 10:13:00,226.469,14.921058685118997,long,3377.918791489349,2021-03-29 10:22:00,226.386,-1.238447870864853,,
2021-03-29 10:22:00,226.386,14.921058685118997,short,3373.919947761737,2021-03-29 10:27:00,226.654,-3.9988437276119013,3377.918791489349,0.0
2021-03-29 10:27:00,226.654,14.885772798016966,long,3365.360628402878,2021-03-29 10:29:00,226.079,-8.559319358859586,,
2021-03-29 10:29:00,226.079,14.885772798016966,short,3357.232996455161,2021-03-29 10:33:00,226.625,-8.127631947717148,3365.360628402878,0.0
2021-03-29 10:33:00,226.625,14.814045213260501,long,3369.499025891741,2021-03-29 10:49:00,227.453,12.266029436579739,,
2021-03-29 10:49:00,227.453,14.814045213260503,short,3367.054708431553,2021-03-29 10:50:00,227.618,-2.444317460187865,3369.499025891741,0.0
2021-03-29 10:50:00,227.618,14.792567848024115,long,3365.323977993334,2021-03-29 10:52:00,227.501,-1.7307304382186768,,
2021-03-29 10:52:00,227.501,14.792567848024115,short,3364.170157701188,2021-03-29 10:53:00,227.579,-1.1538202921459246,3365.323977993334,0.0
2021-03-29 10:53:00,227.579,14.782427894055198,long,3363.031910753346,2021-03-29 10:55:00,227.502,-1.1382469478422235,,
2021-03-29 10:55:00,227.502,14.782427894055198,short,3360.8736762808144,2021-03-29 10:58:00,227.648,-2.1582344725318605,3363.031910753346,0.0
2021-03-29 10:58:00,227.648,14.76346673935556,long,3359.14635067231,2021-03-29 10:59:00,227.531,-1.7273256085044562,,
2021-03-29 10:59:00,227.531,14.76346673935556,short,3363.3244117595477,2021-03-29 11:05:00,227.248,4.178061087237851,3359.14635067231,0.0
2021-03-29 11:05:00,227.248,14.800237677601334,long,3360.009158519765,2021-03-29 11:06:00,227.024,-3.3152532397825443,,
2021-03-29 11:06:00,227.024,14.800237677601334,short,3357.8483238188355,2021-03-29 11:09:00,227.17,-2.160834700929596,3360.009158519765,0.0
2021-03-29 11:09:00,227.17,14.781213733410379,long,3358.720415429107,2021-03-29 11:10:00,227.229,0.8720916102715955,,
2021-03-29 11:10:00,227.229,14.781213733410379,short,3357.2866376969664,2021-03-29 11:22:00,227.326,-1.433777732140511,3358.720415429107,0.0
2021-03-29 11:22:00,227.326,14.768599446156474,long,3362.751019492044,2021-03-29 11:36:00,227.696,5.464381795077962,,
2021-03-29 11:36:00,227.696,14.768599446156474,short,3364.0358876438595,2021-03-29 11:45:00,227.609,1.284868151815452,3362.751019492044,0.0
2021-03-29 11:45:00,227.609,14.77988958100892,long,3359.853178892434,2021-03-29 11:46:00,227.326,-4.182708751425753,,
2021-03-29 11:46:00,227.326,14.77988958100892,short,3355.670470141008,2021-03-29 11:50:00,227.609,-4.182708751425753,3359.853178892434,0.0
2021-03-29 11:50:00,227.609,14.743136124410757,long,3358.5453816852682,2021-03-29 11:56:00,227.804,2.874911544259997,,
2021-03-29 11:56:00,227.804,14.743136124410757,short,3359.4889423972304,2021-03-29 12:03:00,227.74,0.9435607119621845,3358.5453816852682,0.0
2021-03-29 12:03:00,227.74,14.751422422048082,long,3353.5441191611444,2021-03-29 12:08:00,227.337,-5.944823236085672,,
