buy_date,buy_value,num_shares,position_type,cash_balance,borrowed_value,sell_date,sell_value,profit_loss,borrow_cost
2021-03-29 14:06:00,129.102,22.882369694452386,short,2951.276513711691,2954.159692293192,2021-03-29 14:14:00,129.228,-2.88317858150111,0.0
2021-03-29 14:14:00,129.228,22.837748117371554,long,2940.931013814522,,2021-03-29 14:16:00,128.775,-10.34549989716938,
2021-03-29 14:16:00,128.775,22.837748117371554,short,2938.60156350655,2940.931013814522,2021-03-29 14:22:00,128.877,-2.3294503079719866,0.0
2021-03-29 14:22:00,128.877,22.801598140137884,long,2937.00545163674,,2021-03-29 14:28:00,128.807,-1.5961118698101444,
2021-03-29 14:28:00,128.807,22.801598140137884,short,2940.9729297131234,2937.00545163674,2021-03-29 14:37:00,128.633,3.967478076383494,0.0
2021-03-29 14:37:00,128.633,22.863284924654817,long,2935.7829640352265,,2021-03-29 14:39:00,128.406,-5.189965677896732,
2021-03-29 14:39:00,128.406,22.863284924654817,short,2935.7829640352265,2935.7829640352265,2021-03-29 14:44:00,128.406,0.0,0.0
2021-03-29 14:44:00,128.406,22.863284924654817,long,2941.5902384060887,,2021-03-29 14:53:00,128.66,5.80727437086211,
2021-03-29 14:53:00,128.66,22.863284924654817,short,2941.978914249808,2941.5902384060887,2021-03-29 14:54:00,128.643,0.3886758437190383,0.0
2021-03-29 14:54:00,128.643,22.869327629562495,long,2939.966413418407,,2021-03-29 14:56:00,128.555,-2.012500831401359,
2021-03-29 14:56:00,128.555,22.869327629562495,short,2934.5463827702006,2939.966413418407,2021-03-29 15:00:00,128.792,-5.4200306482061915,0.0
2021-03-29 15:00:00,128.792,22.785160435199394,long,2930.832401619263,,2021-03-29 15:06:00,128.629,-3.71398115093775,
2021-03-29 15:06:00,128.629,22.785160435199394,short,2928.8956629822706,2930.832401619263,2021-03-29 15:08:00,128.714,-1.9367386369921298,0.0
2021-03-29 15:08:00,128.714,22.75506676027682,long,2932.2179027292714,,2021-03-29 15:17:00,128.86,3.322239747000757,
2021-03-29 15:17:00,128.86,22.75506676027682,short,2930.966374057457,2932.2179027292714,2021-03-29 15:18:00,128.915,-1.2515286718147336,0.0
2021-03-29 15:18:00,128.915,22.735650421265618,long,2927.374141290897,,2021-03-29 15:19:00,128.757,-3.5922327665596727,
2021-03-29 15:19:00,128.757,22.735650421265618,short,2923.168045962963,2927.374141290897,2021-03-29 15:23:00,128.942,-4.206095327934191,0.0
2021-03-29 15:23:00,128.942,22.670410308223563,long,2924.9816787876202,,2021-03-29 15:33:00,129.022,1.8136328246575242,
2021-03-29 15:33:00,129.022,22.670410308223563,short,2918.906008825016,2924.9816787876202,2021-03-29 15:35:00,129.29,-6.07566996260393,0.0
2021-03-29 15:35:00,129.29,22.5764251591385,long,2917.9803753934916,,2021-03-29 15:41:00,129.249,-0.9256334315246065,
2021-03-29 15:41:00,129.249,22.5764251591385,short,2916.6483663091026,2917.9803753934916,2021-03-29 15:47:00,129.308,-1.332009084389115,0.0
2021-03-29 15:47:00,129.308,22.555823045048278,long,2915.1596819881293,,2021-03-29 15:48:00,129.242,-1.4886843209732428,
2021-03-29 15:48:00,129.242,22.555823045048278,short,2917.076926946958,2915.1596819881293,2021-03-29 15:49:00,129.157,1.917244958828642,0.0
2021-03-29 15:49:00,129.157,22.585511640460506,long,2918.1384459940596,,2021-03-29 15:51:00,129.204,1.061519047101577,
2021-03-29 15:51:00,129.204,22.585511640460506,short,2915.157158457519,2918.1384459940596,2021-03-29 15:52:00,129.336,-2.9812875365408997,0.0
2021-03-29 15:52:00,129.336,22.53941020641986,long,2911.7987863367625,,2021-03-29 15:53:00,129.187,-3.3583721207565795,
2021-03-29 15:53:00,129.187,22.53941020641986,short,2909.680081777359,2911.7987863367625,2021-03-29 15:58:00,129.281,-2.1187045594033336,0.0
2021-03-29 15:58:00,129.281,22.506633471100617,long,2908.577256737275,,2021-03-29 16:02:00,129.232,-1.1028250400840787,
2021-03-29 16:02:00,129.232,22.506633471100617,short,2908.1946439682665,2908.577256737275,2021-03-29 16:33:00,129.249,-0.3826127690086184,0.0
2021-03-29 16:33:00,129.249,22.50071291822967,long,2909.2071760495874,,2021-03-29 17:36:00,129.294,1.0125320813206933,
2021-03-29 17:36:00,129.294,22.50071291822967,short,2906.6195940639914,2909.2071760495874,2021-03-29 18:48:00,129.409,-2.5875819855959774,0.0
2021-03-29 18:48:00,129.409,22.46072216046791,long,2904.1489146263402,,2021-03-29 19:24:00,129.299,-2.470679437651138,
2021-03-29 19:24:00,129.299,22.46072216046791,short,2922.6340889644052,2904.1489146263402,2021-03-30 08:00:00,128.476,18.485174338065256,0.0
2021-03-30 08:00:00,128.476,22.74848289925282,long,2906.1641873453464,,2021-03-30 08:34:00,127.752,-16.469901619059126,
2021-03-30 08:34:00,127.752,22.74848289925282,short,2903.3206269829398,2906.1641873453464,2021-03-30 08:42:00,127.877,-2.8435603624066026,0.0
2021-03-30 08:42:00,127.877,22.70400953246432,long,2902.798434763693,,2021-03-30 08:46:00,127.854,-0.5221922192465915,
2021-03-30 08:46:00,127.854,22.70400953246432,short,2895.533151713304,2902.798434763693,2021-03-30 09:19:00,128.174,-7.26528305038875,0.0
